;8.jpg;9.jpg;14.jpg;29.jpg;15.jpg;17.jpg;16.jpg;12.jpg;40.jpeg;13.jpg;39.jpg;11.jpg;10.jpg;38.jpg;21.jpg;35.jpg;34.jpg;20.jpg;36.jpg;22.jpg;23.jpg;37.jpg;33.jpg;27.jpg;26.jpg;18.jpg;24.jpg;30.jpg;19.jpeg;31.jpg;25.jpg;4.jpg;28.jpeg;5.jpg;7.jpg;32.jpeg;6.jpg;2.jpg;3.jpg;1.jpg
acido;0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0;0,1,0,0,0;90,4,4,0,4,0,3,0,1,2,3,1,3,4,4,4,3,4,3;0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0;10,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0;0,0,0;0,3,0,1,0,0,0,0,0,0;60,3,1,1,3,3,0,0,3;0,0,0,0,0,0,0,0,0,0,0,0,0;100,4,4,3,3,3,0,1,4,4,1,3,3;0,1,0,4,0;0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0;0,0;0,3,1,0,0,0,3,0,0,0,0,3,0,0,1;0,0,0,1,1,0,3,0,0,0,3,1,0,2,1,0,0;0,2,0,1,0,0,0,0,0,0,0,0,0,0;0,0,1,0,0,2,2,0,0,0,2,0,0,0,0,0;0,0;0,2,0,0,0,0,0,0,0;0,0,0,0,0,0,0,1,0,0,0,1,2,0,0;0,0,0,0,0,0;0,0,0,0,0,3,0,0,3,0,0,0,0,0;0,0,0,2,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0;0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0;0,0,3,0,0,3;0,0,0,0,0,2,0,2,0,0;0,0,0,2,4,0,0;0,0,0,1,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2,1,0,0,3,0,0;0,2,0,0,0,0,3,0,0,1;0,1,1,0,1;0,0,0,1,0,0,0;0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4;0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0;0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0;0,0,3,1,2,0,0,0,0,0,0,1,1,2,0,0,0;0,0,0,0,3,0,0,0,1;0,0,0,0,0,0,0,0,0,2,0,0,0
agresivo;100,4,0,1,4;20,2,0,0,1,0,1,0,0,0,0,0,0,0,2;0,0,2,0,1,0,0;0,0,0,0,2,4,0,0,0,2,2,0,0,0,0,0,2,1,3;0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,3,3,0,1,0,0,0,0,0,1,0;0,0,2,0,2,0,0,2;0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0;0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,1;0,0,0,0,0,0,2,2,1,0,0,0;5,0,0,3,1,2,0,0,0,0,0,0,0;30,0,4,0,1,0,0,1,0,2,0,3,0,4,0,0,0,3;0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;90,4,3,3,3,4,2,4,4,4,4,3,4,4,3,4,4,2,4,1,4;0,0,0,3,0,4,2,0,0,0,0,0,0,3;0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0;10,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,4;90,4,3,4,4,4,2,4;60,3,2,2,0,1,4,4,2,3;0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4;0,0,0,0,0,2,0,0,0,0,0,0,0;0,0,0,0,0,2,0,0,3,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,2,0,1,0,0,0,0,0,0,1,0;10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0,0,0,2;80,1,1,1,2,1,1,2,1,1,1,1,1,1,0;0,0,0,0,0,0,0,1,0,2,0,0,0,1,0;0,0,0;0,0,0,0;0,0,3,0,3,0,0,0,0,1,0;30,1;50,0,0,3,0,1,3,4,0,1,3,4,1,0,1;0,0,0,1,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0;30,0,0,1,0,2,2,0,0,3,0;0,0,0,0,2,0,0,0,0,0,0,0,2,0;0,0,3,0,0,0,0;0,0,0,0,0,0,1,3
agua;0,0,0,0,0,0,3,0,0,2,1,0,0,1,0,0,0,0,2;0,0,0,0,0;10,0,0,0,0,0,1,0,1,0,0,1,0,2;0,0,0,0,0,0,0,0,1,0,0,1,0;60,0,2,0;0,0;0,0,0,0,0,0;10,0,0,0,3,0,0,0,0,0,0,0,0;5,1,0,0,0,0,0,0;40,4,4,1,1,0,2,1,0,2,0,0,0;100,0,2,4,3,4,2,4,4;0,0,0,0,0,0,0,0,0,2,0,1;0,1;5,0,1,0,0,0,0,0,0,0;0,0,0,3,1,0,0,0,3,0,1,0,0,3;10,0,0,0,2,0,0,0,0;10,0,0,0,0,2,2,0,3,0,1,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,1,0;100,4;0,0,1,0,0,0,0,0,3,0,0,0,4,4,0,0;0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0;5,0,0,0,2,0,0,0,0,0,3,0,4,0,1,0,1;100,3,4,2,1,4,4,4,3,4,3,4,2,4,4,1;0,0;0,0,0,0,0,0,1,0,1,0,0,0,0,2,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;100,1,4,3,1,3,4,1,3;0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0;30,0,0,0,1,3,2,1,0,4,1,2,0,2,2;10,2;0,0,0,0,0,0,3,0;0,0,0,1,3,4,0,0,0,3,0,0,0;0,0,0,1,0,0,0,0,0,0,0,0,0;0,0,2,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4;0,0,0,0,0,0,3,0,0,0,0,0,0,0;100,3,4,4,4,2,3;0,3,0,0,0,0;0,0,0,2,0,2,0,0,0;0,1,2,1,0,1,0,0,0,0;0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ala;0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0;100,4,3,4,4,4,3,1,4,1,4,4,4,4,3,4,2,3,1,1;0,0,2,0,0,0,0,3,0,0,0,0;0,3,0,0,2,0,0,0;0,1,0,0,3,0,0,0,3,2,0,1,0,3,3,1,0,0,0,0,0;0,1,0,0,0,0,2;0,0,0,3,2,0;0,0,0,2,0,1,0,0,2;0,0,1,0,0,0,2,0,0,0,1,1,2,2,0,0,2,0,0,4,1;0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0;100,1,4,4,4,0,4,3,1,3,2,3,3;100,3,4;0,2,0,2,2,0,0,1,0,0;0,1,2,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0;100,3,3,4,3,2,3,4,1,4,3,2;0,0,0,0,0,0,0,0,3,1,0,0,0,1;100,4,3,3,3,3,3,4;0,0,1,1,0,0,2,0,0,0,2,1,0,0,1;0,0,1,4,3,1,0,0,0,0,0,0,0,2,0;0,0,0,0,0,0,0,0;80,1,1,1,1,1,1,1,1;0,0,0,0,0,3;0,0,0,0,0;0,1,0,0;0,0,0,3;70,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1;0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1;60,0,4,0,0,3,3,1,3,3,2,3,0,4,4,3,3,4,1;0,0,0,0,0;0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,2,0,0,0;0,0,3,3,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,1,0,2,0,4,2,0,0;0,0,0;0,0,0,0,0,0,0,0,0;100,3,0,4,4,4,1,4,3,4,4,1;0,0,4;100,4,4,1,4,1,4,4,4,3,0,4
altitud;0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,1;80,1;0,0,0,1,0,0,0,0,0,0,0,0,2;0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,4;0,0,0,0,2,0,1,0,0,0,1,0;0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,2;0,0,0,1,0,0,0,4,0,1,1,1,0,0,0,0,0,0;0,0,0,0,0,1,0,0,1,0,1,0,0,0,0;0,0,0;0,0,3,0,0,2,1,0,0,0;0,0,0,0,0,0,3;80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;80,1,1,1,1,1,1,1,1,1,1;0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0;0,1,0,0,0,0,1,2,0,2,1,0,0;0,0,0,0,0,0,0,0,0;100,3,3,4,4,1,4,1,4,1,2,3,3,3,3,4,4,3,2;0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0;100,1,0,4,4,4,3,1,4,3,4,2;0,0;0,0,0,0,2,0,0,3,0,0,0;0,0,0,0,0,0,0,0,0,0,0;80,1;0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0;0,0,0,2,0,1,3,0,0;0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;70,1,1,1,1,1,1,1,1,3,1;0,1,3,0,0,0,0,0,1,1;60,3,3,0,4,0,1,0,0,0,4,0;0,1,3,3,0,0,0,0,0,0,0,1,0,0;0,0,3,2,0,0,0,1,0,0;0,2,0,3,0,0,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,0,0,0,2,0;0,0,0,0,0,1;0,0,3,0,3,0,0,0,0,1,0,0,0,2,0,0,0;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0;100,1,2,3,4,4,1;0,2,0,0,0,0,0,0,0,0,2;100,4,4,4,4,4,0,1,2
altura;0,0,1,0,0,0,1,1,0,1,0;80,1,1,1,1,1,1,1,1;0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0;0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1;0,0,1,0,0,0,0;0,0,1;0,1,0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,3,0;0,0,1,4,0,2,0,1,0,0,0,0,0,0,1,0,0,0;80,1;80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;0,1,0,0,0,0,0,0,0,0;0,0,0,0,0,2,0,0,0,0,0,0,0,2,0;0,0,0,3,1,0,0,0,0,0,0,0;100,1,3,0,3,3,4,4,4,1,4,0,3,4,3;0,0,0,0,0,1,0,0;100,3,4,4,1,3,4,3,4,3,1,3,2,3;0,0,0,0,0,0,0,3,2;0,0,0,0,0,0,0,0,0,1;0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,1,3,0,2;80,1,1,1,1,1,1,1;0,1,2,0,1,0,0,1,0,0,0,2;0,0,0,0,1,0,0,0,0,0,0;0,0,0,0,1,2,3,0,0,0,0,0,0,0,3;0,0,0,2,0,0,0,2;70,1,1,1,1,1;0,0,0,0,0,0;60,4,4,1,2,0,4,4,1,1,4,0,0,4,3,1,3,0,1,2;0,0,0,0,3,0;0,2,0;0,1,3,0,0,0,0,1;0,0,0,2,0,0,0,0,1,0,0,0,0,0,0;0,0,0;0,0,0,0,0;0,0,0,1,0,0,0,3,3,0,0,3,0,0,0,1,0,0,0,2,3;100,4,2,4,4,3,2,3,4,3,2,1,4,3,3,4,0;0,0,0,0,0,1,2,0,0,0,1,0,1,0,3;100,2,3,4,3,4,0,4,3,3,4,4,3,4,1
amarillo;0,0,0,0,0,0,1,0,2,0;0,0,1,4,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0;0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,3,0,0;0,0,1,0,0,0,0,0,1,0,1,0,4,2,4,0,0;0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3;0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0;70,1,1,1,1,1,1,1,1,1,1,1,1;0,0,0,0,2,0,0,4;100,3,2,4,4;0,0,2,0,2,0,0,0,0,0,0,0,0;0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0;0,3,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0;0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0;100,1,3,3,4,4;0,0,2,0,0,0,0,0;100,3,3,4,4,0,4,4,3,4,3,4,4,4,3,0,4;0,0,0,0;0,1;0,0;0,0,3,0,0,0,1,0;0,0,0,0,0,0,1,0;0,0;0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0;0,0,0,0,3,0,0,0,0,0,0,0,0,1;0,2,0,0,1,0,0,0;30,4,1,0,0,2,3;0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0;0,2,0,0,2,0,1,2,1,0;0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0;0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0;0,1,0,0,0,0,0,0,1,2,0,0;0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
americano;0,0,0,0,0,0,0,0,0,0,0,0,0,3;0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,1,0,3;0,0,0,0,0,2,0,0,1,1,0,2,0;100,1,1,2,4,4,3,4,3,2,1,4,1,3,4,2,0,4,0;100,4,4,3,3,4,1,4,4,2,4,2,2,3,3,3,0,4,4,4;0,0,0,0,0,0,0,0,0,0,0,0,0,0,2;0,1,1,0,0,0,0,0,0;0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,2,0,0;0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0;0,0,1,0,0,1,0,1,4,0,0,0,0;0,0,0,0,0,0,0,0,0;0,0,0,0;0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0;0,0,0,0,0,0,2,0,0,0;0,0,0,1,0,0,1,1,0,0,0,0,0;0,0,1,0,2,1,0,4,1,0,0,0,1,0,0;0,1,0,2,1,0,2,0;0,0,0,0,0,0,0,1,0,1,0,0,0,2,0;0,0;0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,3,1,0;0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0;20,0;0,1,0,0,0,0,3;0,0,0,0,0,2,0,3,0,1,1,0,0,1;0,1,2,2,1,0,0;0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2;0,0,0,0,0,1,3,0,0,0;0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,3,0,0;0,0,3,1,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0;0,0,0,0,0;0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0;0,0,0,0,0,3,0,0,2,0,0,0;0,0,0,0,0,2;0,1,0,0,0,2,0,0,0,1
animal;100,3,3,3,4,4,3,3,2,2,3,1,4;100,4,3,2,3,2,4,1,4,3;0,0,0,0,0,0,0,0,1,2,0,0,0,2,0;0,3,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0;0,0,0,0,1,0,1,0,1,0,0,0,0,3,1,0,0,2,0,0,0;0,0,0,0,2,0,0,0,1,1,0,0,0,2;0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0;0,0,0,0,0;0,0,0,1,0,0,2;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;100,3,4,4,4,1,2,4,2,3,4,4,3,4,1,0,2,4,4,4,4;100,1,4,4,3,2,4,4,0,4,4,3,1,4;0,1,0;0,0,0,1,0;0,3,0,1,0,0,0,0,0,0;0,0,0,0,0,0,0,0,1,0,0,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0;0,0,0,1,0,0,0,0,0,0;0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0;0,0,0,0,0;0,0,0;0,0,0,0,0,0,1,2,0,0,0,2,0,3,1,0;0,1,0,0,0,1,0,0,1,2;0,0,0,0,0,0,0,0;0,3,0,0,1,0,0,0,1,3,4,0,0,0,0,0,0;0,0,0;0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,3,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;100,1,4,4;0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0;100,4,4,3,4,4,4,4,4,4,3,2,3,0,0,4;100,4,4,2,0,3;0,0,0,0,0,0,0,0,0,1,0,0;100,4,4,2,4,3;0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0;100,3,4,2,4,3,4,0,3,3;0,0,0,0,0,0,2,1
arbol;0,0,0,0,0;50,3;30,1,0,3,2,1,0,3,1,2,0,0,1,0,0,0,0,0;0,2,1,0;10,0,0,1,0,0,1,0,1,0;0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0;0,0,0;50,3,3,0,1,4;0,0,2,0,1,0,0,0;30,3,1,0,0,2,4,1,0,0,0,0,0,2,3,0,0;100,4,3,3,2,1,2,4,3,3;0,0,2,0,0,0,0,0,0;10,0,0,0,0,0,1,0,1,0,0,0,0,0,0;0,2,1,3,0,1,0,0,0,0,0,2,1,0,0,0;0,0,0,0;0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0;0,0,1,0,0,3;0,0,0,0,0,2,2,0,1,0,0,3,2,0,0,0,0,0,0;10,1,0,0,3,0,0,0,2,0,1,2,2,0,0,0,0,0,0,2;0,1,0,0,0,1,0,1,0,0,0,0,3,0,0;0,0,3,0,0,0,2,0,0,0,0,0,0,0;0,0,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0;100,4,4,4,4,3,4,4,1,4,3,4,1,4,4;0,3,2,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,2,0,0,0,0,0,0,0,0,1;0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,1,0;0,0,0,0,0,0,0,3,0,0,0;0,3,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0;100,3,4,3,4,0,4,4,3,3,4,1,4,3,2,4,3,1,4,3;0,0,2,0,4;0,1,2,0;0,1,0,1,2,0,0,0,2,0,2;0,2,0,0,0,0,0,0,0;0,2,0,0,0,0;80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;0,0,2,0,0,1,0,2,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0;0,4,0,0,0,0,1,0
arboles;0,0,0,0,0,0,0,0,0,2,0,0,0;50,4,1,4,1,0,4,4,4,3,3,1,2,4,3,2,2,1,1;30,2,0,4,4,4,0,0,0,4,0,0,0;0,0,0,1,0,0,0,0,1,3,0,1,0,0,2;10,0,3,3,1;0,0,0,0,0,0,0,1,0,0,0,0,0,2;0,0,0;50,4,4,1;0,0,2,3,0,0,0,0;30,2,1,0,0,1,0,0,2;100,2,4,3,4,3,4,3,3;0,2,0,0,1;10,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0;0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0;0,0,3,0,0,0,0;0,3,0;0,0,0,0,1,0,0,2,2;0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0;10,0,0,0,0,4,0,2,0,0;0,0,0,0,0;0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;100,3,4,4,3,4,4,3,3,1,4,4,3,4;0,0,0;0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,2,0,0;0,1,0,1,0,0,0,0,0,0,0,0,0;0,0;0,0,0,0,0,0;0,0,0,0,0,4,0;100,4,4,2,3,4,3;0,3,0,1,0,0,3,4,0,0,0,0,0,0,1,0,3,0,0;0,3,2,0,0,0,0,0,0,0,0,0,0,2;0,0,0,0,0,0,0,0,3,0,0,0,0;0,0,2,2,2,0,3,0,0;0,0,0,2,1,0,0,0;80,1,1,1,1,1,1,1,1,1;0,3,3,0,0;0,0,0,1,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
arena;0,0,0,0,0,0,0;0,0,1,0,0,0,0,0;0,0,1,0,0,4,0,0,0,0,3,0,0,1,0;0,0;0,0,0;0,3,0,0,0,0,0,0,0;0,0,0,1,0,3,0,0,0,0,3,0,0,0,2,0,1,0,0,0;0,0,0,0,0;0,0,0,0,0,1,0,4,0,0,0;0,0,2,0,0,1,2,0,2,0;100,4;0,0,0,4,0,0,0,0,0,0,0,1;0,1,0,0,0,0,0;0,0,0,0,0,1,3,0,0,0,0,0,0,0,2;0,0,0,4,2;0,0,1,0,0,0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0;0,0,0,0,0,0,0,0,0;0,3,0,0,2,0,0,0,0,0,0,0;0,0,0,0;0,0,2,2,1,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,1,0,1,0,0,0,1;0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,3,0,0,0,3;0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0;0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0;0,0,0,0,2,0,0;0,4,1,0,0,4,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0;0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0,0,0,1,0,0,0;0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,4,0,0;100,4,2,4,3,4,3,2,1,3,4,2,1;0,0,2,0,0,0,0,0,0,2,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0
artificial;0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,1,0,3,1,0,0;0,2,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0;0,0,0,2,0,0;100,4,4,2,3,4,4,2;0,0,0,0,0,0,0,0,0,0;60,3,2,3,3,0,2,3,3,0,2,0,2,4,0,0,3,3,1,0,4;60,1,3,3,3;0,0,0,0,1;0,1,0,0,0,0;0,2,1,2,0,0,0,0,0,0,0,0;0,4,2,0,0,0,0,0,0,0,0,0,0,0;0,0,2,0,0,0,0,0,0;0,0,0,0,0,3,0,0,0;0,0,0,2,0;100,4,4,3,4,4,4,2,4,4;0,1,0;0,0,1,0,0,0,0,0,0,0,0,0,0,0;100,4,1,1,2,3,1,3,4,4,2,4,4,4,4,4;0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0;100,4,3,3,3,4,4,4,3,4,4,4,3,3,2,2,2,4,4,1;0,1,0,0,0,0,0,0,0,2,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,0;0,0,0,0,0,0,0,0,0;100,1,4,3,3,1,4,3,4,4,4;0,0,0,0,0,0,4,0,0,0,0;60,1,4,4,2,1,0,0,1,2,2,4,4,1,0,0,0,1,4;0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1;100,4,4;0,0;0,1,1,1,0;0,0,0,0,0,2,3,3,0,0,2,0,0,0,0,0,0,0;100,4;0,0,3,1,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,1;0,0;0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0;0,0,2,0,0,1,0,0,0,0,0,3;100,3,4,4,4,4,0,4,3,4,4,3,4,1,2,3,1,4,4,4;0,0,2,0,0,0,3,0;100,4,2,4,0,4,0,4,4,3,3,3,4,1
artista;0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0;0,0;0,0,0,0,3;0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0;0,0,0,0,1,0,0,0,0,0,0,0,1;0,0,2,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,2,0;0,0,0,0,0,2,0,2,0,1,3,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,1,0,3,3;0,2,0,0,1,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0;0,0,0,0,0,0,0,3;0,0,0,0,0,0,0,3,0,0,0;0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,4;0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2;0,0,2,0,0,0,2,0,0,0,0,0;0,0,2,4,1,0,0,0;0,0,0,0,0,0,2,0,0,0,0,0,0,1;0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,2,0,0,0;0,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3;0,0,0,0,0,0,0,0,0,1,2,1,0,0;100,4,4,4,4,4,2,4,3,4;0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3;0,1,0,0,1,0,1,1,0,0,0,0,1,0,0;0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0;0,2,0;100,1,4,4,4,4;0,0,0,0,0,0,0,0;0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,1;0,0,1,0,0,0,1,3,0,0;0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1;0,0,0,0,0,1,1,0;0,4;0,0,2,0,1,0,0,0,0,0,0;0,0,0,2,0,0,0,0,0,0,0
